day,x,y,z
356,-2.433136903634277E13,-1.7496914927869248E12,2.849714644948321E7
357,-2.439950479272979E13,-1.754525620830473E12,2.855393294990597E7
358,-2.4467640547453973E13,-1.75935974875444E12,2.8610719448574565E7
359,-2.453577630052459E13,-1.7641938765594973E12,2.8667505945499584E7
360,-2.460391205195084E13,-1.7690280042463108E12,2.8724292440691523E7
361,-2.467204780174184E13,-1.7738621318155405E12,2.878107893416078E7
362,-2.4740183549906633E13,-1.778696259267841E12,2.883786542591767E7
363,-2.4808319296454188E13,-1.7835303866038616E12,2.8894651915972408E7
364,-2.48764550413934E13,-1.7883645138242456E12,2.8951438404335123E7
365,-2.494459078473309E13,-1.7931986409296318E12,2.9008224891015857E7
366,-2.496162472017032E13,-1.7944071726773872E12,2.9022421512268033E7
